Record Length,2.50E+03,-0.05,0,-0.028,,,,,,,,,,,,,,,,,
,,-0.04728,2.72,-0.048,-0.017737374,,,,,,,,,,,,,,,,
,,-0.04724,2.76,-0.004,-0.011919192,,,,,,,,,,,,,,,,
,,-0.0472,2.8,-0.012,-0.014868687,,,,,,,,,,,,,,,,
,,-0.04716,2.84,-0.044,-0.019313131,,,,,,,,,,,,,,,,
,,-0.04712,2.88,-0.04,-0.011515152,,,,,,,,,,,,,,,,
,,-0.04708,2.92,0.028,-0.021212121,,,,,,,,,,,,,,,,
,,-0.04704,2.96,0.012,-0.013656566,,,,,,,,,,,,,,,,
,,-0.047,3,-0.036,-0.015919192,,,,,,,,,,,,,,,,
,,-0.04696,3.04,-0.016,-0.013858586,,,,,,,,,,,,,,,,
,,-0.04692,3.08,0,-0.014020202,,,,,,,,,,,,,,,,
,,-0.04688,3.12,-0.036,-0.011555556,,,,,,,,,,,,,,,,
,,-0.04684,3.16,-0.008,-0.013494949,,,,,,,,,,,,,,,,
,,-0.0468,3.2,-0.028,-0.003959596,,,,,,,,,,,,,,,,
,,-0.04676,3.24,-0.02,-0.013535354,,,,,,,,,,,,,,,,
,,-0.04672,3.28,0.024,-0.012323232,,,,,,,,,,,,,,,,
,,-0.04668,3.32,-0.016,-0.01579798,,,,,,,,,,,,,,,,
,,-0.04664,3.36,-0.028,-0.009010101,,,,,,,,,,,,,,,,
,,-0.0466,3.4,0.02,-0.016444444,,,,,,,,,,,,,,,,
,,-0.04656,3.44,-0.012,-0.009454545,,,,,,,,,,,,,,,,
,,-0.04652,3.48,0.024,-0.013090909,,,,,,,,,,,,,,,,
,,-0.04648,3.52,-0.044,-0.011878788,,,,,,,,,,,,,,,,
,,-0.04644,3.56,-0.044,-0.008767677,,,,,,,,,,,,,,,,
,,-0.0464,3.6,-0.02,-0.011070707,,,,,,,,,,,,,,,,
,,-0.04636,3.64,0.004,-0.017333333,,,,,,,,,,,,,,,,
,,-0.04632,3.68,-0.032,-0.012080808,,,,,,,,,,,,,,,,
,,-0.04628,3.72,0.008,-0.017131313,,,,,,,,,,,,,,,,
,,-0.04624,3.76,-0.012,-0.014181818,,,,,,,,,,,,,,,,
,,-0.0462,3.8,-0.024,-0.017858586,,,,,,,,,,,,,,,,
,,-0.04616,3.84,0.016,-0.017171717,,,,,,,,,,,,,,,,
,,-0.04612,3.88,-0.016,-0.013818182,,,,,,,,,,,,,,,,
,,-0.04608,3.92,-0.048,-0.011959596,,,,,,,,,,,,,,,,
,,-0.04604,3.96,-0.036,-0.009171717,,,,,,,,,,,,,,,,
,,-0.046,4,-0.008,-0.010505051,,,,,,,,,,,,,,,,
,,-0.04596,4.04,-0.016,-0.008040404,,,,,,,,,,,,,,,,
,,-0.04592,4.08,0,-0.010787879,,,,,,,,,,,,,,,,
,,-0.04588,4.12,-0.02,-0.005737374,,,,,,,,,,,,,,,,
,,-0.04584,4.16,0.004,-0.010060606,,,,,,,,,,,,,,,,
,,-0.0458,4.2,-0.004,-0.009212121,,,,,,,,,,,,,,,,
,,-0.04576,4.24,0.036,-0.008484848,,,,,,,,,,,,,,,,
,,-0.04572,4.28,0,-0.005656566,,,,,,,,,,,,,,,,
,,-0.04568,4.32,-0.016,-0.006585859,,,,,,,,,,,,,,,,
,,-0.04564,4.36,-0.004,-0.006747475,,,,,,,,,,,,,,,,
,,-0.0456,4.4,0.004,-0.006545455,,,,,,,,,,,,,,,,
,,-0.04556,4.44,-0.024,-0.005575758,,,,,,,,,,,,,,,,
,,-0.04552,4.48,-0.02,-0.006747475,,,,,,,,,,,,,,,,
,,-0.04548,4.52,-0.004,-0.006949495,,,,,,,,,,,,,,,,
,,-0.04544,4.56,-0.024,-0.008080808,,,,,,,,,,,,,,,,
,,-0.0454,4.6,-0.004,-0.009454545,,,,,,,,,,,,,,,,
,,-0.04536,4.64,-0.028,-0.007717172,,,,,,,,,,,,,,,,
,,-0.04532,4.68,0.004,-0.008161616,,,,,,,,,,,,,,,,
,,-0.04528,4.72,0,-0.007838384,,,,,,,,,,,,,,,,
,,-0.04524,4.76,-0.004,-0.012606061,,,,,,,,,,,,,,,,
,,-0.0452,4.8,-0.02,-0.007070707,,,,,,,,,,,,,,,,
,,-0.04516,4.84,0,-0.013858586,,,,,,,,,,,,,,,,
,,-0.04512,4.88,0.004,-0.005494949,,,,,,,,,,,,,,,,
,,-0.04508,4.92,0.004,-0.014989899,,,,,,,,,,,,,,,,
,,-0.04504,4.96,-0.008,-0.00779798,,,,,,,,,,,,,,,,
,,-0.045,5,-0.008,-0.014707071,,,,,,,,,,,,,,,,
,,-0.04496,5.04,-0.04,-0.011434343,,,,,,,,,,,,,,,,
,,-0.04492,5.08,-0.02,-0.016161616,,,,,,,,,,,,,,,,
,,-0.04488,5.12,-0.028,-0.012282828,,,,,,,,,,,,,,,,
,,-0.04484,5.16,0.012,-0.01369697,,,,,,,,,,,,,,,,
