Record Length,2.50E+03,-0.006,0,2
Sample Interval,4.00E-06,-0.005996,0.004,1.8
Trigger Point,1.50E+03,-0.005992,0.008,2.8
,,-0.005988,0.012,2.8
,,-0.005984,0.016,2.8
,,-0.00598,0.02,3.2
Source,CH1,-0.005976,0.024,3.4
Vertical Units,V,-0.005972,0.028,3.4
Vertical Scale,5.00E+00,-0.005968,0.032,4
Vertical Offset,6.00E-01,-0.005964,0.036,3.8
Horizontal Units,s,-0.00596,0.04,4
Horizontal Scale,1.00E-03,-0.005956,0.044,4
Pt Fmt,Y,-0.005952,0.048,4
Yzero,0.00E+00,-0.005948,0.052,4.2
Probe Atten,1.00E+01,-0.005944,0.056,4
Model Number,TDS2012C,-0.00594,0.06,4
Serial Number,C023723,-0.005936,0.064,4.2
Firmware Version,FV:v24.18,-0.005932,0.068,4.2
,,-0.005928,0.072,3.8
,,-0.005924,0.076,3.6
,,-0.00592,0.08,3.6
,,-0.005916,0.084,3
,,-0.005912,0.088,3
,,-0.005908,0.092,3.2
,,-0.005904,0.096,2.2
,,-0.0059,0.1,2.2
,,-0.005896,0.104,2.2
,,-0.005892,0.108,1.4
,,-0.005888,0.112,1.4
,,-0.005884,0.116,1.2
,,-0.00588,0.12,0.4
,,-0.005876,0.124,0
,,-0.005872,0.128,0.4
,,-0.005868,0.132,-0.6
,,-0.005864,0.136,-0.8
,,-0.00586,0.14,-0.8
,,-0.005856,0.144,-1.4
,,-0.005852,0.148,-1.6
,,-0.005848,0.152,-1.8
,,-0.005844,0.156,-2.2
,,-0.00584,0.16,-2.6
,,-0.005836,0.164,-2.6
,,-0.005832,0.168,-2.6
,,-0.005828,0.172,-3
,,-0.005824,0.176,-2.6
,,-0.00582,0.18,-3
,,-0.005816,0.184,-3.4
,,-0.005812,0.188,-3.2
,,-0.005808,0.192,-3.4
,,-0.005804,0.196,-3
,,-0.0058,0.2,-3
,,-0.005796,0.204,-3
,,-0.005792,0.208,-2.6
,,-0.005788,0.212,-3
,,-0.005784,0.216,-2.6
,,-0.00578,0.22,-1.6
,,-0.005776,0.224,-1.8
,,-0.005772,0.228,-1.6
,,-0.005768,0.232,-0.8
,,-0.005764,0.236,-0.6
,,-0.00576,0.24,-0.6
,,-0.005756,0.244,0
,,-0.005752,0.248,0.4
,,-0.005748,0.252,0.4
,,-0.005744,0.256,1
