Record Length,2.50E+03,-0.05,0,-3.8,,
Sample Interval,4.00E-05,-0.04996,0.04,-3.8,,
Trigger Point,1.25E+03,-0.04992,0.08,-4.2,,
,,-0.04988,0.12,-3.8,,
,,-0.04984,0.16,-4,,
,,-0.0498,0.2,-3.8,,
Source,CH1,-0.04976,0.24,-3.8,,
Vertical Units,V,-0.04972,0.28,-3.6,,
Vertical Scale,5.00E+00,-0.04968,0.32,-3.8,,
Vertical Offset,0.00E+00,-0.04964,0.36,-3.6,,
Horizontal Units,s,-0.0496,0.4,-3.6,,
Horizontal Scale,1.00E-02,-0.04956,0.44,-3.8,,
Pt Fmt,Y,-0.04952,0.48,-3.8,,
Yzero,0.00E+00,-0.04948,0.52,-3.6,,
Probe Atten,1.00E+01,-0.04944,0.56,-3.6,,
Model Number,TDS2012B,-0.0494,0.6,-3.6,,
Serial Number,C067031,-0.04936,0.64,-3.4,,
Firmware Version,FV:v22.11,-0.04932,0.68,-3.6,,
,,-0.04928,0.72,-3.4,,
,,-0.04924,0.76,-3.2,,
,,-0.0492,0.8,-3.4,,
,,-0.04916,0.84,-3.2,,
,,-0.04912,0.88,-3.4,,
,,-0.04908,0.92,-3.4,,
,,-0.04904,0.96,-3,,
,,-0.049,1,-3,,
,,-0.04896,1.04,-3.2,,
,,-0.04892,1.08,-3,,
,,-0.04888,1.12,-3,,
,,-0.04884,1.16,-3,,
,,-0.0488,1.2,-3,,
,,-0.04876,1.24,-3,,
,,-0.04872,1.28,-3,,
,,-0.04868,1.32,-3,,
,,-0.04864,1.36,-3,,
,,-0.0486,1.4,-3,,
,,-0.04856,1.44,-2.8,,
,,-0.04852,1.48,-3,,
,,-0.04848,1.52,-2.8,,
,,-0.04844,1.56,-2.8,,
,,-0.0484,1.6,-2.8,,
,,-0.04836,1.64,-3,,
,,-0.04832,1.68,-2.8,,
,,-0.04828,1.72,-2.8,,
,,-0.04824,1.76,-2.8,,
,,-0.0482,1.8,-2.6,,
,,-0.04816,1.84,-2.8,,
,,-0.04812,1.88,-2.8,,
,,-0.04808,1.92,-2.8,,
,,-0.04804,1.96,-2.6,,
,,-0.048,2,-2.6,,
,,-0.04796,2.04,-2.8,,
,,-0.04792,2.08,-2.4,,
,,-0.04788,2.12,-2.6,,
,,-0.04784,2.16,-2.4,,
,,-0.0478,2.2,-2.6,,
,,-0.04776,2.24,-2.4,,
