Record Length,2.50E+03,-0.00072,0,-0.432,0.032,,
Sample Interval,4.00E-06,-0.000716,0.004,-0.44,0.024,,
Trigger Point,1.80E+02,-0.000712,0.008,-0.432,0.032,,
,,-0.000708,0.012,-0.44,0.024,,
,,-0.000704,0.016,-0.432,0.032,,
,,-0.0007,0.02,-0.432,0.032,,
Source,CH1,-0.000696,0.024,-0.44,0.024,,
Vertical Units,V,-0.000692,0.028,-0.44,0.024,,
Vertical Scale,2.00E-01,-0.000688,0.032,-0.44,0.024,,
Vertical Offset,0.00E+00,-0.000684,0.036,-0.432,0.032,,
Horizontal Units,s,-0.00068,0.04,-0.432,0.032,,
Horizontal Scale,1.00E-03,-0.000676,0.044,-0.432,0.032,,
Pt Fmt,Y,-0.000672,0.048,-0.432,0.032,,
Yzero,0.00E+00,-0.000668,0.052,-0.432,0.032,,
Probe Atten,1.00E+00,-0.000664,0.056,-0.432,0.032,,
Model Number,TDS2012B,-0.00066,0.06,-0.432,0.032,,
Serial Number,C052191,-0.000656,0.064,-0.432,0.032,,
Firmware Version,FV:v22.11,-0.000652,0.068,-0.432,0.032,,
,,-0.000648,0.072,-0.432,0.032,,
,,-0.000644,0.076,-0.424,0.04,,
,,-0.00064,0.08,-0.424,0.04,,
,,-0.000636,0.084,-0.432,0.032,,
,,-0.000632,0.088,-0.424,0.04,,
,,-0.000628,0.092,-0.424,0.04,,
,,-0.000624,0.096,-0.416,0.048,,
,,-0.00062,0.1,-0.416,0.048,,
,,-0.000616,0.104,-0.424,0.04,,
,,-0.000612,0.108,-0.416,0.048,,
,,-0.000608,0.112,-0.416,0.048,,
,,-0.000604,0.116,-0.416,0.048,,
,,-0.0006,0.12,-0.4,0.064,,
,,-0.000596,0.124,-0.408,0.056,,
,,-0.000592,0.128,-0.408,0.056,,
,,-0.000588,0.132,-0.408,0.056,,
,,-0.000584,0.136,-0.4,0.064,,
,,-0.00058,0.14,-0.4,0.064,,
,,-0.000576,0.144,-0.4,0.064,,
,,-0.000572,0.148,-0.392,0.072,,
,,-0.000568,0.152,-0.4,0.064,,
,,-0.000564,0.156,-0.392,0.072,,
,,-0.00056,0.16,-0.384,0.08,,
,,-0.000556,0.164,-0.392,0.072,,
,,-0.000552,0.168,-0.376,0.088,,
,,-0.000548,0.172,-0.376,0.088,,
,,-0.000544,0.176,-0.384,0.08,,
,,-0.00054,0.18,-0.376,0.088,,
,,-0.000536,0.184,-0.376,0.088,,
,,-0.000532,0.188,-0.368,0.096,,
,,-0.000528,0.192,-0.36,0.104,,
,,-0.000524,0.196,-0.368,0.096,,
,,-0.00052,0.2,-0.36,0.104,,
,,-0.000516,0.204,-0.36,0.104,,
,,-0.000512,0.208,-0.352,0.112,,
,,-0.000508,0.212,-0.352,0.112,,
,,-0.000504,0.216,-0.344,0.12,,
,,-0.0005,0.22,-0.336,0.128,,
,,-0.000496,0.224,-0.336,0.128,,
,,-0.000492,0.228,-0.336,0.128,,
,,-0.000488,0.232,-0.32,0.144,,
,,-0.000484,0.236,-0.328,0.136,,
,,-0.00048,0.24,-0.328,0.136,,
,,-0.000476,0.244,-0.32,0.144,,
,,-0.000472,0.248,-0.312,0.152,,
,,-0.000468,0.252,-0.312,0.152,,
,,-0.000464,0.256,-0.312,0.152,,
,,-0.00046,0.26,-0.304,0.16,,
,,-0.000456,0.264,-0.304,0.16,,
,,-0.000452,0.268,-0.288,0.176,,
,,-0.000448,0.272,-0.288,0.176,,
,,-0.000444,0.276,-0.288,0.176,,
,,-0.00044,0.28,-0.28,0.184,,
,,-0.000436,0.284,-0.28,0.184,,
,,-0.000432,0.288,-0.288,0.176,,
,,-0.000428,0.292,-0.272,0.192,,
,,-0.000424,0.296,-0.256,0.208,,
,,-0.00042,0.3,-0.264,0.2,,
,,-0.000416,0.304,-0.256,0.208,,
,,-0.000412,0.308,-0.248,0.216,,
,,-0.000408,0.312,-0.248,0.216,,
,,-0.000404,0.316,-0.248,0.216,,
,,-0.0004,0.32,-0.248,0.216,,
,,-0.000396,0.324,-0.24,0.224,,
,,-0.000392,0.328,-0.232,0.232,,
,,-0.000388,0.332,-0.24,0.224,,
,,-0.000384,0.336,-0.232,0.232,,
,,-0.00038,0.34,-0.224,0.24,,
,,-0.000376,0.344,-0.224,0.24,,
,,-0.000372,0.348,-0.224,0.24,,
