,,-0.00243,0.198,0.3,-0.044,-0.044
,,-0.002428,0.2,0.32,-0.044,-0.044
,,-0.002426,0.202,0.34,-0.048,-0.048
,,-0.002424,0.204,0.34,-0.044,-0.044
,,-0.002422,0.206,0.36,-0.048,-0.048
,,-0.00242,0.208,0.38,-0.048,-0.048
,,-0.002418,0.21,0.38,-0.048,-0.048
,,-0.002416,0.212,0.4,-0.044,-0.044
,,-0.002414,0.214,0.44,-0.044,-0.044
,,-0.002412,0.216,0.44,-0.048,-0.048
,,-0.00241,0.218,0.46,-0.052,-0.052
,,-0.002408,0.22,0.46,-0.048,-0.048
,,-0.002406,0.222,0.48,-0.048,-0.048
,,-0.002404,0.224,0.48,-0.052,-0.052
,,-0.002402,0.226,0.48,-0.048,-0.048
,,-0.0024,0.228,0.52,-0.048,-0.048
,,-0.002398,0.23,0.5,-0.052,-0.052
,,-0.002396,0.232,0.52,-0.052,-0.052
,,-0.002394,0.234,0.54,-0.048,-0.048
,,-0.002392,0.236,0.5,-0.048,-0.048
,,-0.00239,0.238,0.52,-0.052,-0.052
,,-0.002388,0.24,0.52,-0.052,-0.052
,,-0.002386,0.242,0.5,-0.052,-0.052
,,-0.002384,0.244,0.5,-0.052,-0.052
,,-0.002382,0.246,0.5,-0.052,-0.052
,,-0.00238,0.248,0.48,-0.048,-0.048
,,-0.002378,0.25,0.48,-0.052,-0.052
,,-0.002376,0.252,0.5,-0.052,-0.052
,,-0.002374,0.254,0.44,-0.056,-0.056
,,-0.002372,0.256,0.46,-0.052,-0.052
,,-0.00237,0.258,0.44,-0.056,-0.056
,,-0.002368,0.26,0.44,-0.052,-0.052
,,-0.002366,0.262,0.44,-0.052,-0.052
,,-0.002364,0.264,0.4,-0.052,-0.052
,,-0.002362,0.266,0.38,-0.056,-0.056
,,-0.00236,0.268,0.38,-0.056,-0.056
,,-0.002358,0.27,0.36,-0.052,-0.052
,,-0.002356,0.272,0.36,-0.052,-0.052
,,-0.002354,0.274,0.32,-0.056,-0.056
,,-0.002352,0.276,0.3,-0.056,-0.056
,,-0.00235,0.278,0.28,-0.052,-0.052
,,-0.002348,0.28,0.26,-0.056,-0.056
,,-0.002346,0.282,0.24,-0.056,-0.056
,,-0.002344,0.284,0.22,-0.052,-0.052
,,-0.002342,0.286,0.2,-0.056,-0.056
,,-0.00234,0.288,0.16,-0.06,-0.06
,,-0.002338,0.29,0.14,-0.052,-0.052
,,-0.002336,0.292,0.12,-0.056,-0.056
,,-0.002334,0.294,0.08,-0.052,-0.052
,,-0.002332,0.296,0.06,-0.06,-0.06
,,-0.00233,0.298,0.04,-0.056,-0.056
,,-0.002328,0.3,0.02,-0.056,-0.056
,,-0.002326,0.302,0.02,-0.056,-0.056
